subject,writer,view,file,comment,id,date
1148,2020-후기 졸업예정자 1차 졸업사정자료 확인 방법,컴퓨터공학과,2021.03.17,0,424,
1147,2021 창의적 종합설계 아이디어 공모전 참가 신청 안내(접수기간 : 21.5.26(수)~,컴퓨터공학과,2021.03.16,0,104,
1146,2021학년도 1학기 인성세미나 4주차 가천 Pride Up 멘토특강,컴퓨터공학과,2021.03.16,0,120,
1145,2021-1학기 외국어능력 졸업인증 대체프로그램 안내문,컴퓨터공학과,2021.03.16,0,294,
1144,2021 인성세미나 폭력예방교육(필수) 및 신입생 실태조사 안내,컴퓨터공학과,2021.03.15,0,338,
1143,2021학년도 신입생 가천 굿즈(후드티) 지급 계획 알림,컴퓨터공학과,2021.03.15,0,209,
1142,2021학년도 신입생(1학년 재학생 포함) 가천핵심역량진단 시행,컴퓨터공학과,2021.03.15,0,191,
1141,2021학년도 1학기 수강신청 확인서 제출 안내,컴퓨터공학과,2021.03.15,-4,267,
1140,2021 창의적 종합설계 아이디어 공모전 참가 신청 안내,컴퓨터공학과,2021.03.10,0,104,
1139,2021학년도 인성세미나 응급처치교육 안내(필수) [1],컴퓨터공학과,2021.03.09,1,534,
1138,2021학년도 신입생 외국어능력 졸업인증기준,컴퓨터공학과,2021.03.08,0,243,
1137,2021-1학기 미등록 및 미복학자 알림,컴퓨터공학과,2021.03.05,0,182,
1136,파이썬 과목 튜터(Tutor) 모집,컴퓨터공학과,2021.03.05,0,290,
1135,2021년 스마트해상물류 x ICT멘토링,컴퓨터공학과,2021.03.05,0,171,
1134,"(주)디트리크리에이티브, 2021년 신입 개발자 채용공고",컴퓨터공학과,2021.02.25,0,201,
1133,"(주)써드아이시스템, 2021년 클라우드 기반 시스템 엔지니어 채용 공고",컴퓨터공학과,2021.02.25,0,132,
1132,[LINC+] 스마트에너지시스템 융합전공 학생 추가모집(3학년),컴퓨터공학과,2021.02.24,0,125,
1131,증원요청 및 추가개설 요청반영,컴퓨터공학과,2021.02.23,0,1670,
1130,[LINC+] IT 디스플레이 융복합 플랫폼 융합전공 신청자 모집(2021년 3학년 대상),컴퓨터공학과,2021.02.22,0,211,
1129,2021-1학기 수강과목 수요조사 [293],컴퓨터공학과,2021.02.19,293,3179,
1128,(주)사이로직 장기현장실습 학생모집(마감),컴퓨터공학과,2021.02.17,0,313,
1127,2021년 상반기 ICT학점연계프로젝트인턴십 승인 참여대학 대상 사업 안내,컴퓨터공학과,2021.02.08,0,329,
1126,저시력 아동청소년 대상 방문 컴퓨터교육 자원봉사자 모집,컴퓨터공학과,2021.02.05,0,208,
1125,"2020-전기 졸업대상자(합격자, 불합격자) 안내문",컴퓨터공학과,2021.02.04,0,824,
1124,"서울특별시 일반임기제공무원 채용시험계획 재공고 (임기제 전산7급,블록체인 전문요원)",컴퓨터공학과,2021.02.02,0,169,
1123,최종졸업사정 안내관련,컴퓨터공학과,2021.02.01,0,666,
1122,(Important)Notice of Timetable Change,컴퓨터공학과,2021.01.29,0,163,
1121,[IPP] 2021-1학기 IPP장기현장실습 실습생모집_(주)웅진,컴퓨터공학과,2021.01.29,0,358,
1120,(중요)시간표 변경 공지,컴퓨터공학과,2021.01.29,0,1078,
1119,AI자율주행차 체험 온라인 캠프(2차) 참가자 모집,컴퓨터공학과,2021.01.28,0,125,
1118,진로세미나 수강 수요조사 안내 [2],컴퓨터공학과,2021.01.28,2,356,
1117,2021-1st Semester Preliminary Course Application I,컴퓨터공학과,2021.01.26,0,252,
1116,2021학년도 IPP형 일학습병행 (주)유니포인트 참여자 모집,컴퓨터공학과,2021.01.21,0,379,
1115,2021-1학기 장기 실습학기제(현장실습) 시행 안내,컴퓨터공학과,2021.01.19,0,485,
1114,한국지역정보개발원 채용공고,컴퓨터공학과,2021.01.18,0,150,
1113,[IPP] 2021-1학기 IPP장기현장실습 실습생모집_(주)가온소프트,컴퓨터공학과,2021.01.13,0,419,
1112,[LINC+] IT 디스플레이 융복합 플랫폼 융합전공 신청자 모집(2021년 3학년 대상),컴퓨터공학과,2021.01.13,0,149,
1111,채용연계 교육 프로그램 안내 - 비트컴퓨터,컴퓨터공학과,2021.01.08,0,270,
1110,"(주)테이크, (주)윈비트, 연성대학교(전자계산소) 채용공고",컴퓨터공학과,2020.12.29,0,463,
1109,[엠티콤] AI 학습용 데이터 가공작업을 위한 재택 아르바이트 모집의 건,컴퓨터공학과,2020.12.28,0,550,
1108,공학교육혁신센터 AI자율주행차 체험 온라인 캠프 참가자 모집,컴퓨터공학과,2020.12.21,0,317,
1107,X-Design 경진대회 결과,컴퓨터공학과,2020.12.19,0,424,
1106,2021-1학기 교내장학금 신청기간 안내,컴퓨터공학과,2020.12.16,0,651,
